monthly_salary,credit_score,travel_spend,dining_spend,shopping_spend,grocery_spend,entertainment_spend,fuel_spend,utilities_spend,card_recommended,card_name
60860,648,384,2993,2471,750,2561,113,3116,0,Kotak 811
16949,848,368,1008,958,466,641,81,234,0,Kotak 811
25189,687,1413,376,169,5992,3396,1331,366,2,Axis Flipkart
108555,726,856,2976,1508,8447,1660,559,2515,4,SBI Cashback Card
31873,730,756,2154,2344,8283,2373,1403,989,4,SBI Cashback Card
123704,739,1453,2108,1354,94,1651,1205,1042,6,ICICI Coral
99504,669,8948,5857,3013,394,1117,943,3923,0,Kotak 811
35965,701,7693,5437,4600,774,425,47,1784,4,SBI Cashback Card
15977,634,681,3043,458,675,900,132,51,0,Kotak 811
82299,782,1577,668,4573,1478,1616,5155,1176,3,Amazon Pay ICICI
194262,770,2,2608,2726,1079,2291,1591,3537,7,HDFC Regalia
25663,641,1126,2492,1159,7324,3369,238,705,0,Kotak 811
17280,723,54,451,4127,378,108,371,2933,2,Axis Flipkart
29931,867,497,3891,1901,9816,609,1623,1917,3,Amazon Pay ICICI
165708,654,5588,9948,3215,606,8466,1216,2187,0,Kotak 811
21111,679,987,2009,547,324,3400,491,255,0,Kotak 811
15423,777,1735,2393,799,2698,1174,1353,949,2,Axis Flipkart
363090,656,1502,2186,4985,3569,15585,464,54,0,Kotak 811
50876,772,1124,3183,3616,4116,586,1451,7851,5,HDFC Millennia
35677,777,922,2956,3943,5697,373,789,1211,4,SBI Cashback Card
33208,756,2744,8127,1333,2137,1128,4174,104,4,SBI Cashback Card
31102,699,870,1249,5782,6617,90,233,1383,2,Axis Flipkart
41538,746,876,1808,1229,3141,141,6,1642,4,SBI Cashback Card
27368,826,85,4766,76,1893,631,976,435,2,Axis Flipkart
13769,666,610,1618,334,1074,49,23,417,0,Kotak 811
99734,699,16756,4357,2925,9513,947,1387,245,2,Axis Flipkart
68308,673,779,929,1967,4354,3425,2359,897,0,Kotak 811
38500,819,2185,1675,1095,1355,2184,17,190,5,HDFC Millennia
111293,664,3044,3848,1426,3413,1525,2296,3024,0,Kotak 811
48289,716,3337,3695,13909,11152,3899,1563,3117,4,SBI Cashback Card
71938,746,7411,6066,1665,1842,695,1090,114,5,HDFC Millennia
87350,788,2190,6866,3123,1812,2055,2833,1284,5,HDFC Millennia
210692,586,3782,5147,9865,819,863,2085,6054,0,Kotak 811
131180,803,489,13970,5277,10507,1157,5421,1478,8,IndusInd Legend
32400,834,1156,899,1291,2893,1809,1625,2020,4,SBI Cashback Card
12156,783,581,566,2658,420,60,60,696,0,Kotak 811
32056,689,4278,406,2308,681,1116,2040,2722,2,Axis Flipkart
19872,638,1789,1299,1097,3764,93,431,9,0,Kotak 811
90355,753,5142,1626,3833,3897,259,1803,1719,4,SBI Cashback Card
384286,763,3375,29740,574,4842,10450,1777,2977,8,IndusInd Legend
15645,713,908,406,326,779,272,438,50,0,Kotak 811
22328,778,439,946,2061,564,127,56,2520,1,SBI SimplyCLICK
17026,728,184,721,2559,891,2873,257,942,2,Axis Flipkart
45309,782,178,135,651,49,141,1706,1385,3,Amazon Pay ICICI
110612,701,622,18481,6988,1557,3341,2310,1330,4,SBI Cashback Card
118017,624,3304,11470,6020,4938,6278,1239,431,0,Kotak 811
104238,662,659,87,3237,5348,1493,1380,7035,0,Kotak 811
53920,761,3148,8554,16101,686,5632,1168,644,5,HDFC Millennia
52169,742,1308,3216,3215,3668,1067,1996,414,5,HDFC Millennia
481868,637,4145,1520,12935,2539,1281,77,2386,0,Kotak 811
41907,837,100,5385,4142,285,3466,3401,105,5,HDFC Millennia
462572,722,3461,15465,2020,8561,2273,3059,193,5,HDFC Millennia
65122,698,1977,577,8707,1048,2162,3828,243,2,Axis Flipkart
29632,774,1860,1548,2600,3164,967,837,985,3,Amazon Pay ICICI
44123,636,284,585,1245,618,364,473,336,0,Kotak 811
38046,753,9219,361,1929,10619,3053,2068,453,5,HDFC Millennia
38234,794,526,10527,4745,680,2038,923,1878,5,HDFC Millennia
432762,714,1739,5406,3456,3633,2386,1910,675,4,SBI Cashback Card
68512,751,2622,2909,2939,14538,4866,7351,363,5,HDFC Millennia
30256,806,4737,3095,149,3681,2129,1344,1945,4,SBI Cashback Card
75524,703,3993,6892,4510,7506,6897,2348,2328,4,SBI Cashback Card
43574,756,1298,2645,300,906,1364,787,705,6,ICICI Coral
493054,822,3830,36429,10469,7365,4522,370,686,8,IndusInd Legend
103872,718,527,11242,1022,3037,4788,389,781,4,SBI Cashback Card
28756,822,1576,4033,9190,964,296,506,390,3,Amazon Pay ICICI
18554,751,118,438,2402,1334,80,1490,1158,2,Axis Flipkart
25126,639,2010,5474,6527,1204,120,3368,1834,0,Kotak 811
19397,833,1089,740,2644,357,1202,574,94,2,Axis Flipkart
59393,770,3151,158,14485,1355,2047,343,81,5,HDFC Millennia
23472,717,1534,368,7619,302,502,67,5415,1,SBI SimplyCLICK
16704,673,2288,306,353,49,426,444,45,0,Kotak 811
53865,760,2650,726,1081,8527,6293,805,680,5,HDFC Millennia
278177,793,1317,1309,5281,5423,1243,2022,6553,7,HDFC Regalia
13675,589,1051,2117,2424,553,603,100,189,0,Kotak 811
64425,739,4705,12446,6314,2109,4493,929,89,5,HDFC Millennia
39596,772,1361,1104,11741,4568,239,2570,1058,3,Amazon Pay ICICI
45607,822,3284,1879,1121,3779,999,207,4211,4,SBI Cashback Card
468277,725,563,5155,2402,4847,3161,4249,693,5,HDFC Millennia
201226,735,4129,6562,1446,14749,1627,1159,2195,5,HDFC Millennia
23887,778,1324,537,1177,650,419,970,336,0,Kotak 811
19442,614,905,274,3581,2913,2415,104,759,0,Kotak 811
26524,712,1942,1935,1632,167,85,1,3641,2,Axis Flipkart
48393,759,2139,351,15360,5499,1971,2203,2492,3,Amazon Pay ICICI
30319,780,454,10661,8742,97,1482,2516,241,4,SBI Cashback Card
17124,670,125,750,2716,1872,38,332,506,0,Kotak 811
46776,756,2308,2454,10116,2827,1088,775,1589,3,Amazon Pay ICICI
104547,728,2504,12557,4053,3718,13919,0,615,5,HDFC Millennia
23585,822,76,174,90,1233,820,239,479,0,Kotak 811
63430,694,1666,1718,2229,1350,109,36,11163,2,Axis Flipkart
140688,703,1108,17969,11575,561,1621,5071,8686,4,SBI Cashback Card
18202,729,1022,1046,477,282,181,120,1101,0,Kotak 811
223781,749,9685,15765,39600,1146,1513,3407,3572,5,HDFC Millennia
24551,732,1323,1704,235,4123,303,108,2156,2,Axis Flipkart
85931,629,4792,4802,682,3150,1398,721,3855,0,Kotak 811
284092,722,10664,5082,8137,4708,5996,3177,2209,5,HDFC Millennia
127675,781,5380,6839,7229,8383,518,5106,6163,7,HDFC Regalia
15150,814,272,260,133,478,497,59,286,0,Kotak 811
14543,740,290,21,823,2132,289,92,815,0,Kotak 811
132595,765,2887,357,582,11480,13860,2705,1771,7,HDFC Regalia
18954,778,25,592,1271,2231,871,358,242,2,Axis Flipkart
39288,687,4319,4658,1027,442,3182,4152,49,0,Kotak 811
41335,772,794,13669,2176,7424,432,317,52,5,HDFC Millennia
42175,694,241,562,2549,2549,30,2150,587,2,Axis Flipkart
15655,691,856,1170,445,1023,160,87,660,0,Kotak 811
16644,837,502,4895,2129,1424,942,1624,1587,2,Axis Flipkart
10778,696,70,729,19,567,101,146,644,0,Kotak 811
22529,691,525,6835,505,2129,1552,30,1000,2,Axis Flipkart
385458,784,4064,5752,7118,2130,8209,7065,2944,8,IndusInd Legend
38629,759,2109,4733,2532,128,276,713,1993,5,HDFC Millennia
61560,838,1473,3128,8394,10117,1400,87,434,5,HDFC Millennia
318484,722,1001,6840,562,186,893,1490,6081,5,HDFC Millennia
134131,727,3162,4702,5411,5321,89,1208,2795,5,HDFC Millennia
51017,808,4043,575,6418,9784,404,442,7252,3,Amazon Pay ICICI
51916,802,884,8497,3059,3003,924,1493,370,5,HDFC Millennia
127649,786,631,21003,4535,1615,229,446,2200,8,IndusInd Legend
36083,677,6425,840,1606,1376,1342,509,1100,0,Kotak 811
34847,701,248,876,204,2111,3844,44,181,4,SBI Cashback Card
35724,742,1516,121,573,12331,4795,5,4333,5,HDFC Millennia
40398,667,73,1189,4927,728,1808,4529,159,0,Kotak 811
48196,744,3133,14828,2259,68,539,2740,3854,5,HDFC Millennia
110138,730,12726,10521,8246,5164,1285,416,2786,5,HDFC Millennia
354456,765,6282,569,2554,693,3153,3477,7797,7,HDFC Regalia
85426,727,25,2354,3423,3026,3566,1180,1786,5,HDFC Millennia
22592,658,1253,1993,2182,1125,431,1438,661,0,Kotak 811
51523,636,2683,3143,4823,5967,3455,2087,6415,0,Kotak 811
19196,621,1200,3506,535,4020,47,1673,332,0,Kotak 811
31012,751,1413,2157,291,3137,633,3731,2149,4,SBI Cashback Card
104139,732,918,2099,11827,1229,7494,1326,273,5,HDFC Millennia
131031,727,7696,12935,1941,1429,2832,1270,5495,5,HDFC Millennia
31295,752,3247,1379,3446,251,1224,601,1105,4,SBI Cashback Card
19776,722,1108,1251,521,784,713,434,3484,0,Kotak 811
29358,711,984,2969,3461,11131,161,103,1513,1,SBI SimplyCLICK
56007,787,1723,2048,2357,4301,1308,3195,2481,4,SBI Cashback Card
275703,822,4735,4568,2940,2429,3321,12334,3252,8,IndusInd Legend
34686,660,1597,282,2075,3916,592,1213,2201,0,Kotak 811
252747,757,91,8017,10977,1675,3340,234,891,8,IndusInd Legend
64895,645,253,649,1673,2170,1244,882,709,0,Kotak 811
43073,721,6507,2367,20882,6570,402,3677,213,3,Amazon Pay ICICI
46932,677,670,6412,1827,86,313,380,5921,0,Kotak 811
53937,746,1218,4023,808,9861,3814,659,6587,5,HDFC Millennia
17045,723,3452,772,636,962,394,60,698,0,Kotak 811
146269,751,742,379,11381,3694,179,12652,178,7,HDFC Regalia
15175,683,1072,78,1080,6935,1020,463,221,2,Axis Flipkart
72411,701,6824,3005,7686,2533,2159,1522,563,4,SBI Cashback Card
16140,706,1512,1126,1843,271,622,201,1160,2,Axis Flipkart
41052,657,286,2607,2487,6109,169,880,266,0,Kotak 811
93361,780,2242,18771,1071,646,3224,6868,4964,5,HDFC Millennia
370169,739,1312,9116,13077,4104,1464,1435,772,5,HDFC Millennia
18080,725,1236,61,160,1822,54,42,8,2,Axis Flipkart
41531,823,876,1429,6188,3597,340,254,172,3,Amazon Pay ICICI
16493,776,1509,341,6150,1452,6,155,199,2,Axis Flipkart
498349,722,1750,802,4823,725,1996,6070,2206,3,Amazon Pay ICICI
54921,657,1907,4170,15740,1209,284,386,4788,0,Kotak 811
37258,602,4726,891,2925,3012,372,4572,2055,0,Kotak 811
16381,739,2723,57,295,185,848,892,157,0,Kotak 811
45567,721,3881,4958,4313,408,299,143,1568,5,HDFC Millennia
54806,755,7012,1427,1181,9289,2349,653,2972,5,HDFC Millennia
139578,766,2116,4642,5570,11305,5497,4290,33,8,IndusInd Legend
100372,758,2859,4183,999,2920,3093,3638,734,8,IndusInd Legend
17321,748,204,40,316,277,339,285,1436,0,Kotak 811
13292,764,43,708,1215,980,12,165,538,0,Kotak 811
109815,660,18070,1413,13077,4407,1402,313,3989,0,Kotak 811
58937,731,1933,4767,9077,593,1243,3453,1141,5,HDFC Millennia
24472,754,1769,1725,2160,2341,2597,1194,56,1,SBI SimplyCLICK
30017,557,4989,2939,2993,122,2812,2306,1819,0,Kotak 811
20851,672,1741,1784,6542,119,48,221,253,0,Kotak 811
10162,774,364,1218,68,543,13,21,963,0,Kotak 811
40892,671,1046,7527,90,3565,5410,1074,4517,0,Kotak 811
62539,744,587,6461,1327,2065,923,5879,8560,5,HDFC Millennia
66304,719,2153,493,7633,4178,10444,547,1372,4,SBI Cashback Card
12090,705,110,1055,294,99,957,238,669,0,Kotak 811
22875,789,603,6989,3613,1258,379,1505,720,1,SBI SimplyCLICK
19283,698,694,6477,2850,42,52,384,1850,2,Axis Flipkart
43658,750,1326,342,2539,760,360,137,770,3,Amazon Pay ICICI
35403,651,4827,2079,2101,2311,257,1076,638,0,Kotak 811
38937,752,2129,105,1760,4109,2674,468,2495,5,HDFC Millennia
62591,656,4850,1953,36525,19534,2672,278,2906,0,Kotak 811
51819,717,11283,1702,1822,10378,243,2363,9178,4,SBI Cashback Card
51475,728,2302,1153,616,375,2614,897,4854,5,HDFC Millennia
89009,726,2573,5165,10047,9845,5568,703,94,5,HDFC Millennia
21132,664,1350,8109,159,135,351,1361,205,0,Kotak 811
460925,750,1192,9882,456,13746,3156,4975,0,8,IndusInd Legend
19658,662,627,2549,1281,28,430,17,2664,0,Kotak 811
129624,701,5407,10975,30046,5826,2457,2374,2282,4,SBI Cashback Card
29493,706,22,1492,1057,2152,416,336,1603,2,Axis Flipkart
331211,699,4959,5396,16713,1229,246,657,4748,2,Axis Flipkart
19885,740,145,156,4779,1759,1406,1343,674,2,Axis Flipkart
58110,789,1988,6911,5352,10369,1361,1737,2319,5,HDFC Millennia
37466,705,1503,3165,11263,2751,2039,846,1506,4,SBI Cashback Card
86512,669,10706,1637,4756,3592,1921,2338,1903,0,Kotak 811
11455,785,583,658,397,2460,231,33,439,0,Kotak 811
82054,685,206,3593,19883,1083,1482,3141,6417,2,Axis Flipkart
128847,768,186,12315,2224,6566,4833,2608,290,8,IndusInd Legend
11774,752,59,412,3346,1040,534,169,424,0,Kotak 811
482338,777,5792,770,17455,412,2290,367,35,7,HDFC Regalia
